index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
95,282.465114765052078,0.605692463765,1.6763363945,0.6452490371,0.390822478997,0.214869984768,1.5497892171,3.235863837307
96,283.211185733233890,0.606112283196,1.6774983020,0.6454135271,0.391193066493,0.214919216702,1.5493942381,0.746070968182
97,284.835963980904751,0.607022743515,1.6800181249,0.6457697495,0.391996925049,0.215025818466,1.5485395541,1.624778247671
98,286.667445363002912,0.608042826014,1.6828413422,0.6461680413,0.392897841911,0.215144984103,1.5475850492,1.831481382098
99,287.911920501422173,0.608732250979,1.6847494197,0.6464367376,0.393506890422,0.215225360557,1.5469417837,1.244475138419
100,289.579854929218811,0.609651608651,1.6872938673,0.6467944347,0.394319267577,0.215332341074,1.5460862777,1.667934427797
101,291.846291329067412,0.610892407282,1.6907279465,0.6472760877,0.395416047388,0.215476359895,1.5449357994,2.266436399849
102,293.558434139356280,0.611823376086,1.6933045295,0.6476366379,0.396239234291,0.215584141795,1.5440757076,1.712142810289
103,297.979277061943435,0.614202301690,1.6998885301,0.6485547310,0.398343808575,0.215858493115,1.5418899164,4.420842922587
104,299.840326053721299,0.615193223038,1.7026310399,0.6489357917,0.399220901242,0.215972321796,1.5409845054,1.861048991778
105,301.649325462194156,0.616150553110,1.7052805813,0.6493031768,0.400068511500,0.216082041611,1.5401125942,1.808999408473
106,302.696749589606895,0.616702233352,1.7068074315,0.6495145522,0.400557074910,0.216145158442,1.5396113862,1.047424127413
107,307.219496128170078,0.619062657975,1.7133402281,0.6504161698,0.402648362888,0.216414295087,1.5374771514,4.522746538563
108,310.109463146701898,0.620552806426,1.7174644170,0.6509830598,0.403969364668,0.216583441758,1.5361382835,2.889967018532
109,311.165141530355982,0.621093683499,1.7189613679,0.6511883835,0.404448991758,0.216644691741,1.5356539296,1.055678383654
110,312.427801180600909,0.621738202658,1.7207451625,0.6514327463,0.405020624815,0.216717577843,1.5350778814,1.262659650245
111,313.985285731158910,0.622529635280,1.7229355601,0.6517323573,0.405722706671,0.216806928608,1.5343721834,1.557484550558
112,315.475616089475750,0.623283276644,1.7250213652,0.6520171991,0.406391416313,0.216891860331,1.5337018737,1.490330358317
113,323.466969557512073,0.627264635095,1.7360403170,0.6535145238,0.409926549288,0.217338085807,1.5301878744,7.991353468036
114,324.862866051739616,0.627949978135,1.7379370972,0.6537710140,0.410535493925,0.217414484210,1.5295875446,1.395896494228
115,327.443901261905467,0.629209467309,1.7414229051,0.6542414225,0.411654896949,0.217554570360,1.5284877502,2.581035210166
116,329.033071680480930,0.629980019307,1.7435555127,0.6545286082,0.412339945210,0.217640074097,1.5278171000,1.589170418575
117,329.953239728233882,0.630424487989,1.7447856403,0.6546940525,0.412735162815,0.217689325173,1.5274310134,0.920168047753
118,331.474467582663408,0.631156575130,1.7468117912,0.6549662230,0.413386238126,0.217770337003,1.5267962910,1.521227854430
119,336.841850428390671,0.633713040849,1.7538871583,0.6559134031,0.415660877238,0.218052163611,1.5245915013,5.367382845727
120,338.339992850806595,0.634419331060,1.7558419126,0.6561742002,0.416289597180,0.218129733880,1.5239855508,1.498142422416
121,339.858216725363548,0.635131905156,1.7578140585,0.6564369305,0.416924038284,0.218207866872,1.5233755956,1.518223874557
122,341.042261111046571,0.635685427184,1.7593460061,0.6566407495,0.417416955348,0.218268471837,1.5229027452,1.184044385683
123,342.054877510363610,0.636157286937,1.7606519423,0.6568143141,0.417837212050,0.218320074887,1.5225003149,1.012616399317
124,344.661702940252326,0.637365619916,1.7639961684,0.6572580034,0.418913654785,0.218451965131,1.5214725341,2.606825429889
125,346.347870566009931,0.638142345610,1.7661458625,0.6575426249,0.419605793001,0.218536552609,1.5208139550,1.686167625758
126,347.272677584420478,0.638566749691,1.7673204586,0.6576979495,0.419984041865,0.218582707826,1.5204547936,0.924807018411
127,349.316260870696169,0.639500578228,1.7699049563,0.6580392352,0.420816471403,0.218684106825,1.5196662243,2.043583286276
128,350.408419349192116,0.639997409529,1.7712800046,0.6582205437,0.421259442866,0.218737966664,1.5192476284,1.092158478496
129,351.878649025359266,0.640663788487,1.7731242991,0.6584634334,0.421853677827,0.218810110659,1.5186872182,1.470229676167
130,353.488900488718798,0.641390444896,1.7751354197,0.6587279135,0.422501789482,0.218888655413,1.5180774635,1.610251463360
131,356.017574977264928,0.642524903177,1.7782751875,0.6591400294,0.423513883557,0.219011019620,1.5171283118,2.528674488546
132,359.743754953114433,0.644182006724,1.7828614473,0.6597402799,0.424992817443,0.219189189281,1.5157479851,3.726179975850
133,361.289361695804644,0.644864336909,1.7847498890,0.6599868456,0.425601979556,0.219262357353,1.5151817141,1.545606742690
134,363.331330578973848,0.645761331172,1.7872324428,0.6603104565,0.426402959390,0.219358371781,1.5144391401,2.041968883169
135,364.736024114088991,0.646375461707,1.7889321327,0.6605316746,0.426951466115,0.219423995592,1.5139319408,1.404693535115
136,366.212710288331323,0.647018522465,1.7907118910,0.6607630151,0.427525909752,0.219492612713,1.5134018961,1.476686174242
137,367.993575481740322,0.647790605352,1.7928487355,0.6610403687,0.428215740604,0.219574864748,1.5127669161,1.780865193409
138,368.968438095734371,0.648211669916,1.7940140891,0.6611914420,0.428592008740,0.219619661176,1.5124212694,0.974862613994
139,370.050919212106010,0.648677915737,1.7953044879,0.6613585739,0.429008701260,0.219669214478,1.5120390655,1.082481116372
140,373.061928372112845,0.649967678431,1.7988740818,0.6618200763,0.430161658562,0.219806019869,1.5109846856,3.011009160007
141,373.864873910908557,0.650309861361,1.7998211197,0.6619423120,0.430467613121,0.219842248240,1.5107056641,0.802945538796
142,375.825912766739350,0.651142497282,1.8021255530,0.6622393919,0.431212211451,0.219930285831,1.5100279630,1.961038855831
143,378.436680249965491,0.652244283884,1.8051748975,0.6626317278,0.432197756797,0.220046527087,1.5091338944,2.610767483226
144,379.872975346532371,0.652847187292,1.8068435148,0.6628460431,0.432737174828,0.220110012464,1.5086459525,1.436295096567
145,381.484468617186508,0.653520924719,1.8087081749,0.6630852264,0.433340070315,0.220180854404,1.5081017646,1.611493270654
146,383.443529449536470,0.654336151506,1.8109644261,0.6633742012,0.434069721821,0.220266429684,1.5074448150,1.959060832350
147,384.956116814863663,0.654962742286,1.8126986014,0.6635959841,0.434630645549,0.220332096738,1.5069410061,1.512587365327
148,385.861300845974256,0.655336539183,1.8137331352,0.6637281557,0.434965312487,0.220371226695,1.5066409214,0.905184031111
149,387.222890222388003,0.655897160927,1.8152847323,0.6639261987,0.435467308762,0.220429852164,1.5061915045,1.361589376414
150,388.846128354232235,0.656562943848,1.8171273772,0.6641610975,0.436063565381,0.220499378468,1.5056587983,1.623238131844
151,393.427743844434019,0.658427240014,1.8222870708,0.6648171640,0.437733730421,0.220693509593,1.5041729578,4.581615490202
152,397.918736209614224,0.660233708675,1.8272867188,0.6654505189,0.439352864043,0.220880844632,1.5027413332,4.490992365180
153,399.985119876194915,0.661058058395,1.8295682190,0.6657387702,0.440091978859,0.220966079536,1.5020906768,2.066383666581
