# Name  Dist  Rad  Vobs  e_Vobs  Vgas  Vdisk  Vbulge  SBdisk  SBbulge
Z000123      1.012616   0.0412   0.63615729   0.000000   0.41783721   0.21832007   0.000000   0.65681431   1.76065194
Z000124      2.606825   0.0415   0.63736562   0.000000   0.41891365   0.21845197   0.000000   0.65725800   1.76399617
Z000125      1.686168   0.0419   0.63814235   0.000000   0.41960579   0.21853655   0.000000   0.65754262   1.76614586
Z000126      0.924807   0.0422   0.63856675   0.000000   0.41998404   0.21858271   0.000000   0.65769795   1.76732046
Z000127      2.043583   0.0426   0.63950058   0.000000   0.42081647   0.21868411   0.000000   0.65803924   1.76990496
Z000128      1.092158   0.0429   0.63999741   0.000000   0.42125944   0.21873797   0.000000   0.65822054   1.77128000
Z000129      1.470230   0.0432   0.64066379   0.000000   0.42185368   0.21881011   0.000000   0.65846343   1.77312430
Z000130      1.610251   0.0436   0.64139044   0.000000   0.42250179   0.21888866   0.000000   0.65872791   1.77513542
Z000131      2.528674   0.0439   0.64252490   0.000000   0.42351388   0.21901102   0.000000   0.65914003   1.77827519
Z000132      3.726180   0.0442   0.64418201   0.000000   0.42499282   0.21918919   0.000000   0.65974028   1.78286145
Z000133      1.545607   0.0446   0.64486434   0.000000   0.42560198   0.21926236   0.000000   0.65998685   1.78474989
Z000134      2.041969   0.0449   0.64576133   0.000000   0.42640296   0.21935837   0.000000   0.66031046   1.78723244
Z000135      1.404694   0.0453   0.64637546   0.000000   0.42695147   0.21942400   0.000000   0.66053167   1.78893213
Z000136      1.476686   0.0456   0.64701852   0.000000   0.42752591   0.21949261   0.000000   0.66076302   1.79071189
Z000137      1.780865   0.0459   0.64779061   0.000000   0.42821574   0.21957486   0.000000   0.66104037   1.79284874
Z000138      0.974863   0.0463   0.64821167   0.000000   0.42859201   0.21961966   0.000000   0.66119144   1.79401409
Z000139      1.082481   0.0466   0.64867792   0.000000   0.42900870   0.21966921   0.000000   0.66135857   1.79530449
Z000140      3.011009   0.0469   0.64996768   0.000000   0.43016166   0.21980602   0.000000   0.66182008   1.79887408
Z000141      0.802946   0.0473   0.65030986   0.000000   0.43046761   0.21984225   0.000000   0.66194231   1.79982112
Z000142      1.961039   0.0476   0.65114250   0.000000   0.43121221   0.21993029   0.000000   0.66223939   1.80212555
Z000143      2.610767   0.0480   0.65224428   0.000000   0.43219776   0.22004653   0.000000   0.66263173   1.80517490
Z000144      1.436295   0.0483   0.65284719   0.000000   0.43273717   0.22011001   0.000000   0.66284604   1.80684351
Z000145      1.611493   0.0486   0.65352092   0.000000   0.43334007   0.22018085   0.000000   0.66308523   1.80870817
Z000146      1.959061   0.0490   0.65433615   0.000000   0.43406972   0.22026643   0.000000   0.66337420   1.81096443
Z000147      1.512587   0.0493   0.65496274   0.000000   0.43463065   0.22033210   0.000000   0.66359598   1.81269860
Z000148      0.905184   0.0496   0.65533654   0.000000   0.43496531   0.22037123   0.000000   0.66372816   1.81373314
Z000149      1.361589   0.0500   0.65589716   0.000000   0.43546731   0.22042985   0.000000   0.66392620   1.81528473
Z000150      1.623238   0.0503   0.65656294   0.000000   0.43606357   0.22049938   0.000000   0.66416110   1.81712738
Z000151      4.581615   0.0507   0.65842724   0.000000   0.43773373   0.22069351   0.000000   0.66481716   1.82228707
Z000152      4.490992   0.0510   0.66023371   0.000000   0.43935286   0.22088084   0.000000   0.66545052   1.82728672
Z000153      2.066384   0.0513   0.66105806   0.000000   0.44009198   0.22096608   0.000000   0.66573877   1.82956822
Z000154      1.854109   0.0517   0.66179411   0.000000   0.44075206   0.22104205   0.000000   0.66599574   1.83160534
Z000155      1.022689   0.0520   0.66219865   0.000000   0.44111489   0.22108375   0.000000   0.66613681   1.83272495
Z000156      1.374524   0.0523   0.66274074   0.000000   0.44160117   0.22113958   0.000000   0.66632567   1.83422527
Z000157      0.897946   0.0527   0.66309389   0.000000   0.44191798   0.22117590   0.000000   0.66644859   1.83520265
Z000158      2.447073   0.0530   0.66405232   0.000000   0.44277796   0.22127435   0.000000   0.66678174   1.83785523
Z000159      1.365785   0.0534   0.66458474   0.000000   0.44325579   0.22132895   0.000000   0.66696654   1.83932880
Z000160      1.566624   0.0537   0.66519328   0.000000   0.44380200   0.22139128   0.000000   0.66717752   1.84101301
Z000161      1.458399   0.0540   0.66575770   0.000000   0.44430868   0.22144901   0.000000   0.66737296   1.84257510
Z000162      1.290468   0.0544   0.66625546   0.000000   0.44475559   0.22149986   0.000000   0.66754514   1.84395272
Z000163      1.756074   0.0547   0.66693032   0.000000   0.44536160   0.22156872   0.000000   0.66777831   1.84582050
Z000164      3.368896   0.0550   0.66821704   0.000000   0.44651732   0.22169972   0.000000   0.66822199   1.84938166
Z000165      1.473659   0.0554   0.66877663   0.000000   0.44702006   0.22175657   0.000000   0.66841459   1.85093042
Z000166      0.782463   0.0557   0.66907296   0.000000   0.44728631   0.22178665   0.000000   0.66851650   1.85175055
Z000167      1.432882   0.0561   0.66961418   0.000000   0.44777265   0.22184153   0.000000   0.66870246   1.85324846
Z000168      1.639870   0.0564   0.67023134   0.000000   0.44832731   0.22190403   0.000000   0.66891427   1.85495653
Z000169      1.353303   0.0567   0.67073885   0.000000   0.44878349   0.22195537   0.000000   0.66908825   1.85636114
Z000170      7.068759   0.0571   0.67336378   0.000000   0.45114382   0.22221996   0.000000   0.66998528   1.86362598
